building,capacity,faculty,room
"B61","410","","R6033"
"B61","490","","R6034"
"B61","90","","R6035"
"B61","350","","R6036"
"B61","30","","R6037"
"B61","140","","R7038"
"B61","430","","R7039"
"B61","10","","R7040"
"B61","130","","R7041"
"B61","420","","R8042"
"B81","180","","R1000"
"B81","110","","R1001"
"B81","480","","R1002"
"B81","480","","R1003"
"B81","50","","R2004"
"B81","170","","R2005"
"B81","420","","R2006"
"B81","490","","R2007"
"B81","350","","R2008"
"B81","420","","R2009"
"B81","240","","R2010"
"B81","100","","R2011"
"B81","230","","R2012"
"B81","10","","R2013"
"B81","190","","R3014"
"B81","250","","R3015"
"B81","460","","R3016"
"B81","350","","R4017"
"B81","250","","R4018"
"B81","50","","R4019"
"B81","220","","R4020"
"B81","330","","R4021"
"B81","310","","R4022"
"B81","310","","R4023"
"B81","330","","R4024"
"B81","210","","R4025"
"B81","220","","R4026"
"B81","240","","R5027"
"B81","410","","R5028"
"B81","480","","R5029"
"B81","480","","R5030"
"B81","280","","R5031"
"B81","90","","R5032"
"B81","60","","R5033"
"B81","290","","R5034"
"B81","420","","R5035"
"B81","400","","R5036"
"B81","150","","R5037"
"B81","60","","R5038"
"B81","120","","R5039"
"B81","120","","R5040"
"B81","140","","R6041"
"B81","330","","R7042"
"B81","330","","R8043"
"B81","200","","R9044"
"B81","330","","R10045"
"B81","440","","R10046"
"B81","20","","R10047"
"B81","150","","R10048"
"B81","310","","R10049"
"B81","390","","R10050"
"B81","350","","R11051"
"B81","140","","R11052"
"B81","120","","R11053"
"B81","360","","R11054"
"B81","260","","R11055"
"B81","140","","R11056"
"B81","150","","R11057"
"B81","140","","R11058"
"B81","410","","R11059"
"B81","360","","R11060"
"B81","450","","R11061"
"B81","380","","R11062"
"B81","400","","R11063"
"B81","130","","R11064"
"B81","250","","R11065"
"B81","150","","R11066"
"B81","360","","R11067"
"B81","100","","R11068"
"B81","390","","R11069"
"B81","390","","R11070"
"B81","260","","R11071"
"B81","180","","R11072"
"B81","20","","R11073"
"B33","280","","R1000"
"B33","70","","R1001"
"B33","200","","R2002"
"B33","170","","R2003"
"B33","450","","R2004"
"B33","390","","R2005"
"B33","250","","R3006"
"B33","160","","R3007"
"B33","50","","R3008"
"B33","300","","R3009"
"B33","200","","R3010"
"B33","200","","R3011"
"B33","420","","R3012"
"B33","10","","R3013"
"B33","50","","R3014"
"B33","40","","R3015"
"B33","300","","R3016"
"B33","490","","R3017"
"B33","420","","R3018"
"B33","240","","R3019"
"B33","140","","R4020"
"B33","480","","R4021"
"B33","170","","R4022"
"B33","160","","R4023"
"B33","40","","R4024"
"B33","470","","R4025"
"B33","230","","R4026"
"B33","400","","R4027"
"B33","230","","R4028"
"B33","450","","R4029"
"B33","240","","R4030"
"B33","170","","R4031"
"B33","20","","R4032"
"B33","260","","R4033"
"B33","320","","R4034"
"B33","460","","R4035"
"B33","380","","R4036"
"B33","120","","R4037"
"B33","130","","R4038"
"B33","150","","R4039"
"B33","460","","R5040"
"B33","340","","R5041"
"B33","490","","R5042"
"B33","110","","R5043"
"B33","430","","R5044"
"B33","210","","R5045"
"B33","390","","R5046"
"B33","490","","R5047"
"B4","490","","R1000"
"B4","410","","R1001"
"B4","270","","R1002"
"B4","10","","R1003"
"B4","10","","R2004"
"B4","280","","R2005"
"B4","400","","R3006"
"B4","110","","R3007"
"B4","390","","R3008"
"B4","60","","R3009"
"B4","230","","R3010"
"B4","250","","R3011"
"B4","50","","R3012"
"B4","100","","R3013"
"B4","180","","R3014"
"B4","430","","R3015"
"B4","420","","R3016"
"B4","270","","R3017"
"B4","260","","R4018"
"B4","380","","R4019"
"B4","150","","R4020"
"B4","330","","R4021"
"B4","440","","R4022"
"B4","340","","R4023"
"B4","420","","R4024"
"B4","290","","R4025"
"B4","30","","R4026"
"B4","50","","R4027"
"B4","220","","R5028"
"B4","130","","R5029"
"B4","340","","R5030"
"B4","110","","R5031"
"B4","90","","R5032"
"B4","140","","R5033"
"B4","110","","R5034"
"B4","440","","R5035"
"B4","240","","R5036"
"B4","220","","R5037"
"B4","240","","R5038"
"B4","370","","R5039"
"B4","140","","R5040"
"B4","200","","R5041"
"B4","70","","R5042"
"B4","60","","R5043"
"B4","70","","R5044"
"B4","480","","R5045"
"B4","50","","R5046"
"B4","50","","R5047"
"B4","420","","R5048"
"B4","190","","R5049"
"B4","230","","R5050"
"B4","190","","R5051"
"B4","60","","R5052"
"B4","350","","R5053"
"B4","80","","R5054"
"B4","260","","R6055"
"B4","490","","R6056"
"B4","270","","R6057"
"B4","170","","R6058"
"B4","40","","R6059"
"B4","210","","R6060"
"B4","480","","R6061"
"B4","460","","R6062"
"B4","150","","R6063"
"B4","210","","R6064"
"B4","30","","R6065"
"B4","300","","R7066"
"B55","270","","R1000"
"B55","100","","R1001"
"B55","310","","R1002"
"B55","350","","R1003"
"B55","330","","R1004"
"B55","420","","R1005"
"B55","310","","R1006"
"B55","220","","R1007"
"B55","90","","R1008"
"B55","480","","R2009"
"B55","110","","R2010"
"B55","30","","R3011"
"B55","310","","R4012"
"B55","260","","R4013"
"B55","240","","R4014"
"B55","390","","R4015"
"B55","200","","R4016"
"B55","360","","R4017"
"B55","140","","R4018"
"B55","10","","R4019"
"B55","310","","R4020"
"B55","160","","R5021"
"B55","20","","R5022"
"B55","160","","R5023"
"B55","350","","R5024"
"B55","210","","R5025"
"B48","140","","R1000"
"B48","100","","R1001"
"B48","110","","R1002"
"B48","70","","R2003"
"B48","220","","R2004"
"B48","110","","R2005"
"B48","150","","R2006"
"B48","160","","R2007"
"B48","30","","R2008"
"B48","130","","R2009"
"B48","480","","R3010"
"B48","310","","R3011"
"B48","280","","R4012"
"B48","20","","R4013"
"B48","230","","R4014"
"B48","400","","R4015"
"B48","470","","R4016"
"B48","70","","R4017"
"B48","20","","R4018"
"B48","420","","R4019"
"B48","430","","R4020"
"B48","90","","R5021"
"B48","430","","R5022"
"B48","460","","R5023"
"B48","320","","R5024"
"B48","340","","R5025"
"B48","110","","R5026"
"B48","330","","R5027"
"B48","480","","R5028"
"B48","330","","R5029"
"B48","470","","R5030"
"B48","360","","R5031"
"B48","90","","R5032"
"B48","260","","R5033"
"B48","450","","R5034"
"B48","80","","R5035"
"B48","230","","R5036"
"B48","390","","R5037"
"B48","380","","R5038"
"B48","240","","R5039"
"B48","290","","R6040"
"B48","20","","R6041"
"B48","390","","R6042"
"B48","280","","R6043"
"B48","200","","R6044"
"B48","10","","R6045"
"B48","120","","R6046"
"B48","410","","R6047"
"B48","430","","R6048"
"B48","240","","R7049"
"B48","80","","R7050"
"B48","330","","R7051"
"B48","420","","R7052"
"B48","420","","R7053"
"B48","470","","R7054"
"B48","190","","R7055"
"B48","270","","R7056"
"B48","180","","R7057"
"B48","270","","R7058"
"B48","280","","R8059"
"B48","270","","R8060"
"B48","470","","R8061"
"B48","420","","R8062"
"B48","330","","R8063"
"B48","170","","R8064"
"B48","460","","R8065"
"B48","150","","R8066"
"B48","110","","R8067"
"B48","70","","R8068"
"B48","170","","R8069"
"B48","50","","R8070"
"B48","450","","R8071"
"B48","410","","R8072"
"B48","470","","R8073"
"B48","280","","R8074"
"B48","120","","R8075"
"B48","380","","R8076"
"B48","130","","R9077"
"B48","110","","R9078"
"B48","320","","R9079"
"B48","270","","R9080"
"B48","70","","R9081"
"B48","200","","R9082"
"B48","10","","R9083"
"B48","390","","R9084"
"B48","330","","R9085"
"B48","240","","R9086"
"B89","470","","R1000"
"B89","90","","R1001"
"B89","50","","R1002"
"B89","70","","R1003"
"B89","490","","R1004"
"B89","320","","R1005"
"B89","320","","R1006"
"B89","460","","R1007"
"B89","60","","R1008"
"B89","410","","R1009"
"B89","360","","R1010"
"B89","30","","R1011"
"B89","380","","R2012"
"B89","10","","R2013"
"B89","80","","R2014"
"B89","250","","R2015"
"B89","490","","R2016"
"B89","430","","R2017"
"B89","110","","R2018"
"B89","260","","R2019"
"B89","270","","R2020"
"B89","410","","R2021"
"B89","170","","R2022"
"B89","220","","R2023"
"B89","160","","R2024"
"B89","150","","R2025"
"B89","470","","R2026"
"B89","40","","R2027"
"B89","120","","R2028"
"B89","170","","R2029"
"B31","360","","R1000"
"B31","220","","R1001"
"B31","270","","R1002"
"B31","150","","R2003"
"B31","170","","R2004"
"B31","130","","R2005"
"B31","60","","R2006"
"B31","160","","R2007"
"B31","320","","R2008"
"B31","250","","R2009"
"B31","280","","R3010"
"B31","80","","R3011"
"B31","430","","R3012"
"B31","410","","R4013"
"B31","170","","R4014"
"B31","80","","R4015"
"B31","300","","R4016"
"B31","420","","R4017"
"B31","290","","R4018"
"B31","100","","R4019"
"B31","440","","R4020"
"B31","110","","R4021"
"B31","340","","R4022"
"B31","180","","R4023"
"B31","390","","R4024"
"B31","310","","R4025"
"B31","390","","R4026"
"B31","280","","R4027"
"B31","220","","R4028"
"B31","190","","R4029"
"B31","120","","R4030"
"B31","110","","R4031"
"B31","80","","R5032"
"B31","230","","R5033"
"B31","260","","R5034"
"B31","210","","R5035"
"B31","470","","R5036"
"B31","140","","R5037"
"B31","20","","R5038"
"B31","260","","R5039"
"B31","470","","R5040"
"B31","420","","R5041"
"B31","120","","R5042"
"B31","370","","R5043"
"B31","430","","R5044"
"B31","470","","R5045"
"B31","420","","R5046"
"B31","290","","R5047"
"B31","110","","R5048"
"B31","230","","R5049"
"B31","300","","R5050"
"B31","240","","R5051"
"B31","60","","R6052"
"B31","480","","R6053"
"B31","90","","R6054"
"B31","110","","R6055"
"B31","60","","R7056"
"B31","290","","R7057"
"B31","170","","R7058"
"B31","30","","R7059"
"B31","250","","R8060"
"B31","120","","R8061"
"B31","170","","R8062"
"B31","270","","R8063"
"B31","410","","R8064"
"B31","210","","R8065"
"B31","380","","R8066"
"B69","280","","R1000"
"B69","340","","R1001"
"B69","330","","R1002"
"B69","180","","R1003"
"B69","220","","R2004"
"B69","220","","R2005"
"B69","240","","R2006"
"B69","60","","R2007"
"B69","370","","R2008"
"B69","130","","R2009"
"B69","100","","R2010"
"B69","410","","R2011"
"B69","20","","R2012"
"B69","190","","R2013"
"B69","190","","R2014"
"B69","150","","R2015"
"B69","90","","R2016"
"B69","450","","R2017"
"B69","210","","R2018"
"B69","320","","R2019"
"B69","290","","R3020"
"B69","200","","R3021"
"B69","300","","R3022"
"B69","370","","R4023"
"B69","390","","R4024"
"B69","260","","R5025"
"B69","380","","R6026"
"B69","190","","R6027"
"B69","50","","R6028"
"B69","350","","R6029"
"B69","140","","R6030"
"B69","400","","R6031"
"B69","400","","R6032"
"B69","390","","R6033"
"B69","30","","R6034"
"B69","120","","R6035"
"B69","240","","R6036"
"B69","90","","R6037"
"B69","460","","R6038"
"B71","380","","R1000"
"B71","50","","R1001"
"B71","450","","R1002"
"B71","330","","R2003"
"B71","270","","R2004"
"B71","110","","R2005"
"B71","80","","R2006"
"B71","70","","R2007"
"B71","170","","R2008"
"B71","90","","R2009"
"B71","430","","R2010"
"B71","320","","R2011"
"B71","460","","R2012"
"B71","320","","R2013"
"B71","430","","R2014"
"B71","410","","R2015"
"B71","150","","R2016"
"B71","320","","R3017"
"B71","20","","R3018"
"B71","20","","R3019"
"B71","260","","R3020"
"B71","340","","R3021"
"B12","130","","R1000"
"B12","430","","R2001"
"B12","450","","R2002"
"B12","280","","R2003"
"B12","430","","R2004"
"B12","400","","R2005"
"B12","120","","R3006"
"B12","450","","R3007"
"B12","340","","R3008"
"B12","20","","R3009"
"B12","200","","R3010"
"B12","190","","R3011"
"B12","320","","R3012"
"B12","270","","R3013"
"B12","150","","R3014"
"B12","380","","R3015"
"B12","440","","R3016"
"B12","100","","R3017"
"B12","170","","R3018"
"B12","280","","R3019"
"B12","260","","R3020"
"B12","210","","R3021"
"B12","100","","R3022"
"B12","40","","R3023"
"B12","200","","R3024"
"B12","170","","R3025"
"B12","290","","R3026"
"B12","280","","R3027"
"B12","370","","R3028"
"B12","130","","R3029"
"B12","330","","R3030"
"B12","100","","R3031"
"B12","320","","R3032"
"B91","190","","R1000"
"B91","280","","R2001"
"B91","110","","R2002"
"B91","40","","R2003"
"B91","370","","R3004"
"B91","110","","R3005"
"B91","130","","R3006"
"B91","470","","R3007"
"B91","270","","R3008"
"B91","30","","R3009"
"B91","290","","R3010"
"B91","440","","R3011"
"B91","110","","R3012"
"B91","450","","R3013"
"B91","90","","R4014"
"B91","60","","R4015"
"B91","50","","R4016"
"B91","210","","R4017"
"B91","290","","R4018"
"B91","220","","R4019"
"B91","480","","R4020"
"B91","30","","R4021"
"B91","390","","R4022"
"B91","440","","R4023"
"B91","180","","R4024"
"B91","310","","R4025"
"B91","300","","R4026"
"B91","120","","R4027"
"B91","60","","R4028"
"B91","370","","R4029"
"B91","260","","R4030"
"B91","140","","R4031"
"B91","390","","R4032"
"B91","90","","R4033"
"B91","320","","R4034"
"B91","370","","R4035"
"B91","90","","R4036"
"B91","440","","R4037"
"B91","90","","R5038"
"B91","170","","R5039"
"B91","290","","R5040"
"B91","60","","R5041"
"B91","370","","R5042"
"B91","300","","R5043"
"B91","330","","R5044"
"B91","220","","R5045"
"B91","180","","R5046"
"B91","450","","R5047"
"B91","240","","R5048"
"B91","450","","R5049"
"B91","370","","R5050"
"B91","490","","R5051"
"B91","110","","R5052"
"B91","280","","R5053"
"B91","450","","R5054"
"B91","20","","R6055"
"B91","100","","R6056"
"B91","430","","R6057"
"B91","10","","R6058"
"B91","170","","R6059"
"B91","170","","R6060"
"B91","250","","R6061"
"B91","270","","R6062"
"B91","280","","R6063"
"B91","130","","R6064"
"B91","120","","R6065"
"B91","140","","R6066"
"B91","440","","R6067"
"B91","430","","R6068"
"B91","30","","R6069"
"B91","70","","R6070"
"B91","60","","R6071"
"B91","150","","R6072"
"B91","390","","R6073"
"B91","90","","R7074"
"B91","150","","R7075"
"B91","180","","R7076"
"B91","200","","R7077"
"B91","470","","R7078"
"B91","60","","R7079"
"B91","220","","R7080"
"B91","400","","R7081"
"B91","110","","R7082"
"B91","300","","R7083"
"B91","320","","R7084"
"B91","350","","R7085"
"B91","240","","R7086"
"B91","110","","R7087"
"B91","100","","R7088"
"B91","400","","R7089"
"B91","30","","R7090"
"B91","310","","R7091"
"B91","20","","R7092"
"B91","210","","R7093"
"B91","60","","R7094"
"B91","290","","R7095"
"B91","110","","R7096"
"B91","190","","R8097"
"B91","10","","R8098"
"B82","250","","R1000"
"B82","460","","R1001"
"B82","70","","R1002"
"B82","450","","R1003"
"B82","150","","R1004"
"B82","440","","R1005"
"B82","290","","R1006"
"B82","150","","R1007"
"B82","460","","R1008"
"B82","40","","R1009"
"B82","50","","R1010"
"B82","310","","R1011"
"B82","110","","R1012"
"B82","120","","R1013"
"B82","400","","R1014"
"B82","290","","R1015"
"B82","250","","R1016"
"B82","400","","R1017"
"B82","170","","R1018"
"B82","450","","R1019"
"B82","450","","R1020"
"B82","460","","R1021"
"B82","120","","R1022"
"B82","30","","R1023"
"B82","40","","R1024"
"B82","390","","R1025"
"B82","30","","R1026"
"B82","280","","R1027"
"B82","450","","R1028"
"B82","440","","R1029"
"B82","450","","R1030"
"B82","410","","R1031"
"B82","460","","R1032"
"B82","380","","R1033"
"B82","10","","R1034"
"B82","280","","R1035"
"B82","340","","R1036"
"B41","160","","R1000"
"B41","110","","R1001"
"B41","220","","R2002"
"B41","80","","R3003"
"B41","80","","R3004"
"B41","280","","R3005"
"B41","330","","R3006"
"B41","450","","R3007"
"B41","440","","R3008"
"B41","30","","R3009"
"B41","180","","R3010"
"B41","290","","R3011"
"B41","150","","R3012"
"B41","210","","R4013"
"B41","450","","R4014"
"B41","200","","R4015"
"B41","470","","R4016"
"B41","30","","R4017"
"B41","170","","R4018"
"B41","240","","R5019"
"B41","150","","R5020"
"B41","300","","R5021"
"B41","380","","R5022"
"B41","30","","R5023"
"B41","160","","R5024"
"B41","180","","R5025"
"B41","60","","R5026"
"B41","330","","R5027"
"B41","270","","R5028"
"B41","150","","R5029"
"B41","380","","R5030"
"B41","200","","R5031"
"B41","80","","R5032"
"B41","20","","R5033"
"B41","270","","R5034"
"B41","10","","R5035"
"B41","300","","R6036"
"B41","110","","R6037"
"B41","100","","R6038"
"B41","50","","R6039"
"B41","430","","R6040"
"B41","420","","R6041"
"B41","270","","R6042"
"B41","290","","R6043"
"B41","210","","R6044"
"B41","10","","R6045"
"B41","170","","R6046"
"B41","400","","R6047"
"B41","230","","R6048"
"B41","270","","R6049"
"B41","140","","R6050"
"B41","420","","R6051"
"B41","460","","R7052"
"B41","230","","R7053"
"B41","410","","R8054"
"B41","350","","R8055"
"B41","330","","R9056"
"B41","120","","R9057"
"B41","190","","R9058"
"B41","160","","R9059"
"B41","10","","R9060"
"B41","30","","R9061"
"B41","400","","R9062"
"B41","280","","R9063"
"B41","490","","R9064"
"B41","250","","R9065"
"B41","300","","R9066"
"B41","90","","R9067"
"B41","450","","R9068"
"B41","140","","R9069"
"B41","50","","R9070"
"B41","440","","R9071"
"B41","30","","R9072"
"B41","480","","R10073"
"B41","280","","R10074"
"B41","240","","R11075"
"B41","480","","R12076"
"B41","460","","R12077"
"B41","430","","R12078"
"B41","140","","R12079"
"B41","80","","R12080"
"B41","360","","R12081"
"B41","100","","R12082"
"B41","20","","R12083"
"B41","100","","R12084"
"B41","220","","R12085"
"B41","110","","R12086"
"B41","170","","R12087"
"B41","220","","R12088"
"B41","490","","R12089"
"B41","80","","R12090"
"B41","170","","R12091"
"B41","170","","R12092"
"B41","490","","R13093"
"B41","370","","R13094"
"B41","10","","R13095"
"B41","20","","R14096"
"B41","200","","R14097"
"B41","300","","R14098"
"B88","60","","R1000"
"B88","490","","R1001"
"B88","320","","R1002"
"B88","260","","R1003"
"B88","460","","R1004"
"B88","320","","R1005"
"B88","50","","R1006"
"B88","100","","R1007"
"B88","140","","R1008"
"B88","460","","R2009"
"B88","230","","R2010"
"B88","70","","R2011"
"B88","70","","R2012"
"B88","460","","R2013"
"B88","160","","R2014"
"B88","120","","R2015"
"B88","430","","R2016"
"B88","220","","R2017"
"B88","80","","R2018"
"B88","490","","R2019"
"B88","250","","R2020"
"B88","370","","R2021"
"B88","200","","R2022"
"B88","350","","R2023"
"B88","50","","R2024"
"B88","70","","R2025"
"B88","280","","R2026"
"B88","40","","R2027"
"B88","40","","R2028"
"B88","300","","R2029"
"B88","430","","R2030"
"B88","280","","R2031"
"B88","80","","R2032"
"B88","240","","R2033"
"B88","310","","R2034"
"B88","360","","R2035"
"B88","190","","R3036"
"B88","280","","R3037"
"B88","260","","R3038"
"B88","320","","R3039"
"B88","480","","R3040"
"B88","440","","R3041"
"B88","140","","R3042"
"B88","430","","R3043"
"B88","300","","R3044"
"B38","320","","R1000"
"B38","460","","R1001"
"B38","200","","R1002"
"B38","90","","R1003"
"B38","310","","R2004"
"B38","70","","R2005"
"B38","370","","R2006"
"B38","10","","R2007"
"B38","250","","R2008"
"B38","430","","R3009"
"B38","200","","R4010"
"B38","220","","R4011"
"B38","270","","R4012"
"B38","70","","R4013"
"B38","360","","R4014"
"B38","110","","R5015"
"B38","60","","R5016"
"B38","250","","R5017"
"B38","70","","R5018"
"B38","150","","R5019"
"B38","160","","R6020"
"B38","470","","R6021"
"B38","450","","R6022"
"B38","270","","R6023"
"B38","180","","R6024"
"B38","170","","R7025"
"B38","360","","R7026"
"B38","340","","R8027"
"B38","160","","R8028"
"B38","450","","R8029"
"B38","20","","R8030"
"B38","20","","R8031"
"B38","460","","R8032"
"B38","410","","R8033"
"B38","430","","R8034"
"B38","460","","R8035"
"B38","160","","R8036"
"B38","200","","R8037"
"B38","440","","R9038"
"B38","230","","R9039"
"B38","150","","R9040"
"B16","50","","R1000"
"B16","480","","R1001"
"B16","260","","R1002"
"B16","410","","R1003"
"B16","310","","R1004"
"B16","180","","R1005"
"B16","430","","R1006"
"B16","420","","R1007"
"B16","150","","R1008"
"B16","320","","R1009"
"B16","370","","R1010"
"B16","150","","R2011"
"B16","240","","R2012"
"B16","60","","R2013"
"B16","430","","R2014"
"B16","10","","R2015"
"B16","80","","R2016"
"B16","100","","R2017"
"B16","20","","R2018"
"B16","320","","R2019"
"B16","460","","R2020"
"B16","380","","R2021"
"B16","460","","R2022"
"B16","100","","R2023"
"B16","480","","R3024"
"B16","250","","R3025"
"B16","80","","R3026"
"B16","70","","R3027"
"B16","470","","R3028"
"B16","280","","R3029"
"B16","60","","R3030"
"B16","300","","R3031"
"B16","170","","R3032"
"B16","370","","R3033"
"B16","180","","R3034"
"B16","120","","R3035"
"B16","150","","R3036"
"B16","330","","R3037"
"B16","170","","R3038"
"B16","360","","R4039"
"B16","110","","R4040"
"B16","160","","R4041"
"B16","430","","R4042"
"B16","30","","R4043"
"B16","30","","R4044"
"B16","230","","R4045"
"B16","130","","R4046"
"B16","140","","R4047"
"B16","410","","R4048"
"B16","330","","R4049"
"B16","10","","R4050"
"B16","390","","R4051"
"B16","310","","R4052"
"B16","370","","R4053"
"B16","490","","R4054"
"B16","440","","R4055"
"B16","430","","R4056"
"B16","210","","R4057"
"B16","320","","R4058"
"B16","150","","R5059"
"B16","210","","R6060"
"B16","250","","R6061"
"B16","300","","R6062"
"B16","30","","R6063"
"B16","240","","R6064"
"B16","100","","R6065"
"B16","480","","R6066"
"B16","280","","R6067"
"B16","180","","R6068"
"B16","50","","R6069"
"B16","10","","R6070"
"B16","170","","R6071"
"B16","40","","R6072"
"B16","370","","R6073"
"B16","300","","R6074"
"B16","380","","R6075"
"B16","240","","R6076"
"B16","50","","R6077"
"B16","250","","R6078"
"B16","490","","R6079"
"B16","420","","R6080"
"B16","70","","R7081"
"B16","60","","R7082"
"B16","350","","R7083"
"B16","320","","R7084"
"B16","150","","R7085"
"B26","430","","R1000"
"B26","470","","R1001"
"B26","80","","R1002"
"B26","390","","R2003"
"B26","290","","R2004"
"B26","210","","R2005"
"B26","220","","R2006"
"B26","60","","R2007"
"B26","200","","R2008"
"B26","460","","R2009"
"B26","440","","R2010"
"B26","290","","R2011"
"B26","60","","R2012"
"B26","450","","R2013"
"B26","100","","R2014"
"B26","320","","R3015"
"B26","220","","R3016"
"B26","490","","R3017"
"B26","380","","R3018"
"B26","320","","R3019"
"B26","10","","R4020"
"B26","30","","R4021"
"B26","360","","R4022"
"B26","80","","R4023"
"B26","440","","R4024"
"B26","300","","R4025"
"B26","260","","R4026"
"B26","100","","R4027"
"B26","200","","R4028"
"B26","320","","R4029"
"B26","70","","R5030"
"B26","190","","R5031"
"B26","360","","R5032"
"B26","10","","R5033"
"B26","390","","R5034"
"B26","350","","R5035"
"B26","60","","R5036"
"B26","210","","R6037"
"B26","200","","R6038"
"B26","60","","R6039"
"B26","310","","R6040"
"B26","420","","R6041"
"B56","160","","R1000"
"B56","240","","R1001"
"B56","460","","R1002"
"B56","70","","R2003"
"B56","310","","R2004"
"B56","110","","R2005"
"B56","460","","R2006"
"B56","260","","R2007"
"B56","100","","R3008"
"B56","430","","R4009"
"B56","470","","R4010"
"B56","150","","R4011"
"B56","470","","R4012"
"B56","430","","R5013"
"B56","90","","R5014"
"B56","10","","R5015"
"B56","230","","R5016"
"B56","220","","R5017"
"B56","320","","R5018"
"B56","320","","R5019"
"B56","160","","R6020"
"B56","210","","R6021"
"B56","350","","R6022"
"B56","210","","R6023"
"B56","440","","R6024"
"B56","350","","R6025"
"B56","460","","R6026"
"B56","480","","R6027"
"B56","450","","R6028"
"B56","390","","R6029"
"B56","380","","R6030"
"B56","180","","R6031"
"B56","30","","R6032"
"B56","310","","R6033"
"B56","460","","R6034"
"B56","50","","R6035"
"B56","260","","R6036"
"B56","70","","R6037"
"B56","450","","R6038"
"B56","150","","R7039"
"B56","180","","R7040"
"B56","110","","R7041"
"B56","140","","R8042"
"B56","440","","R8043"
"B56","270","","R8044"
"B56","50","","R8045"
"B56","90","","R8046"
"B56","80","","R8047"
"B56","20","","R8048"
"B56","160","","R8049"
"B56","380","","R8050"
"B56","400","","R8051"
"B56","360","","R8052"
"B56","10","","R8053"
"B56","470","","R8054"
"B56","440","","R8055"
"B56","380","","R8056"
"B56","480","","R8057"
"B56","450","","R8058"
"B56","90","","R8059"
"B56","180","","R8060"
"B56","230","","R9061"
"B56","10","","R9062"
"B56","220","","R10063"
"B56","400","","R10064"
"B56","320","","R10065"
"B56","40","","R10066"
"B56","330","","R10067"
"B19","330","","R1000"
"B19","80","","R1001"
"B19","270","","R1002"
"B19","260","","R1003"
"B19","160","","R1004"
"B19","220","","R1005"
"B19","70","","R1006"
"B19","210","","R1007"
"B19","290","","R1008"
"B19","110","","R1009"
"B19","270","","R1010"
"B19","190","","R1011"
"B19","410","","R1012"
"B19","190","","R1013"
"B19","480","","R2014"
"B19","50","","R2015"
"B19","190","","R2016"
"B19","60","","R2017"
"B19","480","","R2018"
"B19","450","","R2019"
"B19","150","","R2020"
"B19","140","","R2021"
"B19","30","","R2022"
"B19","160","","R2023"
"B19","440","","R2024"
"B19","50","","R2025"
"B19","200","","R3026"
"B19","330","","R3027"
"B19","380","","R3028"
"B19","430","","R3029"
"B19","160","","R3030"
"B19","410","","R3031"
"B19","400","","R3032"
"B19","80","","R3033"
"B19","460","","R3034"
"B19","90","","R3035"
"B19","400","","R3036"
"B19","480","","R3037"
"B19","370","","R3038"
"B19","40","","R3039"
"B19","120","","R3040"
"B19","50","","R3041"
"B19","10","","R3042"
"B19","300","","R3043"
"B19","10","","R3044"
"B19","70","","R3045"
"B19","110","","R3046"
"B19","100","","R3047"
"B19","480","","R3048"
"B19","150","","R3049"
"B19","440","","R3050"
"B19","160","","R4051"
"B19","470","","R5052"
"B19","280","","R5053"
"B19","90","","R5054"
"B19","110","","R5055"
"B19","300","","R5056"
"B19","330","","R5057"
"B19","90","","R5058"
"B19","400","","R5059"
"B19","430","","R5060"
"B19","430","","R5061"
"B19","390","","R5062"
"B19","110","","R5063"
"B19","10","","R5064"
"B19","450","","R5065"
"B19","380","","R6066"
"B19","280","","R6067"
"B19","480","","R6068"
"B19","40","","R7069"
"B19","440","","R7070"
"B19","370","","R8071"
"B19","180","","R8072"
"B19","140","","R8073"
"B19","140","","R8074"
"B19","60","","R9075"
"B19","220","","R9076"
"B19","300","","R9077"
"B19","380","","R9078"
"B19","230","","R9079"
"B19","80","","R9080"
"B32","130","","R1000"
"B32","60","","R1001"
"B32","350","","R1002"
"B32","230","","R1003"
"B32","490","","R1004"
"B32","130","","R1005"
"B32","110","","R1006"
"B32","200","","R1007"
"B32","380","","R1008"
"B32","290","","R1009"
"B32","450","","R1010"
"B32","140","","R1011"
"B18","300","","R1000"
"B18","160","","R1001"
"B18","470","","R1002"
"B18","300","","R2003"
"B18","280","","R2004"
"B18","360","","R2005"
"B18","260","","R2006"
"B18","210","","R2007"
"B18","350","","R2008"
"B18","60","","R2009"
"B18","130","","R2010"
"B18","300","","R2011"
"B18","330","","R2012"
"B18","410","","R2013"
"B18","160","","R2014"
"B18","420","","R3015"
"B18","370","","R4016"
"B18","260","","R4017"
"B18","420","","R4018"
"B18","440","","R4019"
"B18","400","","R5020"
"B18","140","","R5021"
"B18","180","","R5022"
"B18","280","","R5023"
"B18","460","","R6024"
"B18","400","","R6025"
"B18","490","","R7026"
"B18","20","","R7027"
"B18","230","","R8028"
"B18","110","","R8029"
"B18","180","","R8030"
"B18","260","","R8031"
"B18","460","","R8032"
"B18","330","","R8033"
"B18","490","","R8034"
"B18","180","","R9035"
"B18","60","","R9036"
"B18","80","","R9037"
"B18","220","","R9038"
"B83","50","","R1000"
"B83","400","","R1001"
"B83","490","","R1002"
"B83","450","","R2003"
"B83","310","","R3004"
"B83","110","","R3005"
"B83","330","","R3006"
"B83","250","","R3007"
"B83","380","","R3008"
"B83","390","","R3009"
"B83","290","","R3010"
"B83","270","","R3011"
"B83","310","","R4012"
