Supervisor,Title,Supervisor (Names)
mrdp1x07,Spin motor control for open-source laboratory centrifuge,"de Planque, Maurits"
br1e18,Stable matching,"Rastegari, Bahar"
gbw,Staff Scheduling,"Wills, Gary"
mrdp1x07,Stepper motor control for open-source syringe pumps,"de Planque, Maurits"
nmg,Streaming Semantic Data,"Gibbins, Nicholas"
dem,Study of experiential factors in a multi-participant interactive narrative,"Millard, David"
pr3,Subspace identification of continuous-time systems using orthonormal bases,"Rapisarda, Paolo"
chdg,Sustainable Electronic Technologies,"De Groot, Kees"
sqc,Symmetric radial basis function beamforming for nonlinear MIMO,"Chen, Sheng"
gravell,Teaching Systems to Enhance Coding Skills,"Gravell, Andrew ('Andy')"
hsp2m10,Teams and their Role in Software Engineering,"Packer, Heather"
ek1c19,"Tell me what I want, what I really really want (Removing unwanted pieces of evidence during a cyber-attack investigation)","Karafili, Erisa"
sm3y07,Texture analysis for COPD diagnosis,"Mahmoodi, Sasan"
hsp2m10,The Adoption of Open Source Projects,"Packer, Heather"
sab1m08,The effects of encapsulation on antireflective surfaces for silicon solar cells,"Boden, Stuart"
hsp2m10,The Evolution of Software,"Packer, Heather"
dst1m17,The representation problem: designing selection tools for evolutionary computation researchers,"Tarapore, Danesh"
ce1r20,The Sound of Neural Networks,"Evers, Christine"
neilw,The use of micro and nano robots in knee surgery,"White, Neil"
apb1,Theoretical Studies of Combinatorial Optimisation Problems,"Prugel-Bennett, Adam"
hmc1x07,Thin film semiconductors for electronic device and sensor technology,"Chong, Harold"
hmc1x07,Three dimensional photonic interconnect and system technology,"Chong, Harold"
corina,Tools for Resource-Aware Automated Synthesis,"Cirstea, Corina"
corina,Towards Responsible AI using Model Checking,"Cirstea, Corina"
meh1r11,Transceiver implementation using the NI USRP,"El-Hajjar, Mohammed"
yt1p07,Transient heat dissipation modelling for electronics cooling,"Tsuchiya, Yoshishige"
dem,Transmedia Interactive Storytelling,"Millard, David"
tsh2n14,Trustworthy and Intelligent Mission Planning,"Hoang, Son"
tjn1f15,Truth discovery for combatting knife crime,"Norman, Tim"
meh1r11,UAV-aided wireless communications,"El-Hajjar, Mohammed"
sab1m08,Uniformity mapping of coated and textured silicon wafers and solar cells,"Boden, Stuart"
apb1,Using Evolutionary Algorithms to Solve Hard Combinatorial Optimisation Problems,"Prugel-Bennett, Adam"
mb1a10,Using machine learning to infer network structure,"Brede, Markus"
llyang,USRP Implementation of 5G OFDM or Other Candidate Communications Schemes,"Yang, Lie-Liang"
mz1,Variable Precision Floating-Point Arithmetic,"Zwolinski, Mark"
sab1m08,Varying the colour of crystalline silicon solar cells and panels,"Boden, Stuart"
ctf1,Vision Controlled Robotics,"Freeman, Christopher"
sh7n18,"Visual Communication, Infographics and Higher Education: Improving How We Communicate with Students","Hewitt, Sarah"
dem,VR verses Locative Storytelling,"Millard, David"
meh1r11,Waveform design for underwater communications,"El-Hajjar, Mohammed"
ob1a12,Web Application Vulnerability Visualisation,"Bills, Oliver"
ar4k06,Web applications development,"Rezazadeh, Abdolbaghi"
ek1c19,What is a Threat? Formalizing Threat Models,"Karafili, Erisa"
ek1c19,Who did it?,"Karafili, Erisa"
xc1f20,Wild life image recognition,"Cai, Xiaohao"
sxn,Wireless Physical Layer Security,"Ng, Michael"
dem,Writing (Interactive) Narrative with the Support of an AI Co-Writer,"Millard, David"
srinanda,Equivariant representations in geometric deep learning,"Dasmahapatra, Srinandan"
apb1,Unsupervised Deep Learning,"Prugel-Bennett, Adam"
apb1,Aligning language with images,"Prugel-Bennett, Adam"
ta1m12,New Materials for Wave Energy Converters,"Andritsch, Thomas"
ng2,Machine Learning model testing in text analysis via Natural Language Processing,"Green, Nicolas"
ce1r20,Machine learning for ambient marine noise,"Evers, Christine;Norman, Tim"
ce1r20,Intent recognition for Human-Robot Interaction,"Evers, Christine"
ce1r20,Audio Gym for Active Robot Audition,"Evers, Christine"
ce1r20,Sensory Ego-Sphere for Human-Robot Collaboration,"Evers, Christine"
spb,Electrostatic actuators for flexible electronic applications,"Beeby, Stephen"
xc1f20,Deep learning reconstruction in medical imaging,"Cai, Xiaohao"
xc1f20,Real-time scene recovery,"Cai, Xiaohao"
xc1f20,Signal noise reduction,"Cai, Xiaohao"
sqc,Multiuser MIMO OFDM,"Chen, Sheng"
sqc,Frequency-domain equalization based multiuser detection for single-carrier multiuser MIMO,"Chen, Sheng"
asw1v08,Energy Harvesting Datalogging and Analysis,"Weddell, Alex"
asw1v08,Battery/Supercapacitor Degradation,"Weddell, Alex"
sem03,Graph Convolutional Networks (GCN) for Text Summarization,"Middleton, Stuart"
sem03,Graph Convolutional Networks (GCN) for Text Classification,"Middleton, Stuart"
sem03,Transformer Model for Text Summarization,"Middleton, Stuart"
sem03,Transformer Model for Text Classification,"Middleton, Stuart"
sem03,Few-shot Learning Text Summarization,"Middleton, Stuart"
sem03,Few-shot Learning Text Classification,"Middleton, Stuart"
rcg1e15,Technical Probes for Understanding Journey Experience,"Gomer, Richard"
rcg1e15,Guerilla Rejection of Cookie Consent,"Gomer, Richard"
jc1r21,On device embedded AI,"Chauhan, Jagmohan"
rcg1e15,Controlling Data Processing with Consent Receipts,"Gomer, Richard"
jc1r21,Audio for healthcare,"Chauhan, Jagmohan"
rcg1e15,An Enabling Platform for Community Data Trusts,"Gomer, Richard"
sw1d20,Delta Sigma Modulator with Finite Impulse Response DAC,"Wang, Shiwei"
sw1d20,Chopper-stabilized instrumentation amplifier,"Wang, Shiwei"
sw1d20,Integrated circuit design for artefact rejection in wearable/implantable biomedical chips,"Wang, Shiwei"
pn1c21,Know-How strategies,"Naumov, Pavel"
pn1c21,Comprehension,"Naumov, Pavel"
pn1c21,Responsibility,"Naumov, Pavel"
pn1c21,Data-informed knowledge,"Naumov, Pavel"
pn1c21,Budget-constrained strategies,"Naumov, Pavel"
pn1c21,Knowing-when,"Naumov, Pavel"
mw3,Text caption/transcript collaborative editor,"Wald, Mike"
mw3,Caption/transcript automatic word error rate tool,"Wald, Mike"
mw3,Speech to text emotion detection and display,"Wald, Mike"
mw3,Text simplification,"Wald, Mike"
mw3,Automatic image descriptions,"Wald, Mike"
mw3,Accessibility checking tool,"Wald, Mike"
sw1d20,Peripheral integrated circuit design for in-memory computing,"Wang, Shiwei"
sw1d20,Resistance to digital converter,"Wang, Shiwei"
sw1d20,Compressive sensing with CMOS/memristor integrated circuits,"Wang, Shiwei"
ac1n16,"AI, Encryption, Knitting, Oh My!","Chapman, Age"
lac,"AI, Encryption, Knitting, Oh My!","Carr, Leslie"
jc1r21,Efficient sensing,"Chauhan, Jagmohan"
nf1m14,Security of 3D printing using Blockchain,"Fadhel, Nawfal"
eb1r21,Lithium-ion batteries degradation modelling,"Batzelis, Stratis"
nf1m14,Gamification of cyber security,"Fadhel, Nawfal"
eb1r21,Modelling and grid-forming control of battery energy storage systems,"Batzelis, Stratis"
eb1r21,Dependence of photovoltaic modules parameters on irradiance and temperature,"Batzelis, Stratis"
eb1r21,MPPT algorithms for fast irradiance changes in Photovoltaic (PV) systems,"Batzelis, Stratis"
eb1r21,Keeping power reserves in Photovoltaic (PV) systems,"Batzelis, Stratis"
eb1r21,Impact of synchronous and inverter-based generation on the stability of the electric grid,"Batzelis, Stratis"
nf1m14,Cyber security for women in STEM,"Fadhel, Nawfal"
dbt1c21,An Erlang implementation for a bare-metal 50K thread system,"Thomas, David"
dbt1c21,Machine Learning for Event-Driven Architectures,"Thomas, David"
dbt1c21,Using C++ meta-programming to optimise arithmetic data-paths in FPGAs,"Thomas, David"
dbt1c21,Type-driven optimisation of caches,"Thomas, David"
dbt1c21,Low-latency lossless compression for streaming buses in digital systems,"Thomas, David"
dbt1c21,Synthesisable parser architectures,"Thomas, David"
dbt1c21,Event-Driven Deep Spiking Neural Networks,"Thomas, David"
mlu1n08,Automated essay scoring,"Leon Urrutia, Manuel"
jh1c18,Evolution and deep learning,"Grundy, Jo"
jh1c18,Machine Learning in Chemistry,"Grundy, Jo"
jh1c18,Outlier Detection in time series data,"Grundy, Jo"
jh1c18,Failure detection in engineering,"Grundy, Jo"
jh1c18,Anomaly detection in medical data,"Grundy, Jo"
tp1f12,Modeling optimization for Emerging Memory Technologies (Memristors),"Prodromakis, Themis;Serb, Alexander;Stathopoulos, Spyros"
tp1f12,Advanced instrumentation for emerging nano-devices,"Prodromakis, Themis;Serb, Alexander;Stathopoulos, Spyros"
tp1f12,Linking Artificial with Biological Intelligence via Memristive Technologies,"Prodromakis, Themis;Serb, Alexander"
kpz,Perceptual Hashing for Visual All-Terrain Robot Navigation,"Zauner, Klaus-Peter"
tp1f12,Biosignal processing - detecting local field potentials (LFP) using template matching,"Prodromakis, Themis;Serb, Alexander"
tp1f12,Artificial synapses - creating reliable and uniform components for the machine learning accelerators of tomorrow,"Prodromakis, Themis;Serb, Alexander"
tp1f12,"Neural simulator with ""memristors-in-the-loop"" - Implementing machine learning on emerging hardware","Prodromakis, Themis;Serb, Alexander"
aks1a19,Implementing and comparing Nonlinear Controllers for Power Systems,"Singh, Abhinav Kumar"
aks1a19,"Implementing, comparing and developing schemes for creating synthetic inertia in power systems","Singh, Abhinav Kumar"
aks1a19,Dynamic parameter estimation of a wind farm at its point of common coupling with the grid,"Singh, Abhinav Kumar"
tp1f12,High Performing Organic Photovoltaics,"Prodromakis, Themis;Panidi, Julianna"
tp1f12,Photoelectric memories acting as artificial synapses,"Prodromakis, Themis;Georgiadou, Dimitra"
kpz,Local Binary Pattern (LBP) Statistics for Texture Identification,"Zauner, Klaus-Peter"
kpz,3D-Output for an Algorithmic Forest Generator,"Zauner, Klaus-Peter"
kpz,From plant image to plant model with ML/AI,"Zauner, Klaus-Peter"
kpz,Image-to-Image Translation from Computer Graphics to Real Scenes,"Zauner, Klaus-Peter"
kpz,Autonomous Environmental Sensor Node,"Zauner, Klaus-Peter"
ek1c19,Helping cyber-attacks analysts using Data Mining and ML techniques ,"Karafili, Erisa"
ek1c19,Cyber-attacks evidence clustering and filtering,"Karafili, Erisa"
rcg1e15,Enabling Data-Driven Scrutiny in Local Government,"Gomer, Richard"
jr1a06,Compositional Toolkit for Neural Networks based on Open Learners and Lenses,"Rathke, Julian"
gmb1m17,Sub-GHz 6LoWPAN for Environmental Sensor Networks,"Bragg, Graeme"
rcg1e15,An Interface for Domestic Energy Scheduling and Understanding,"Gomer, Richard"
bk2d20,AI-applied malware detection,"Kang, BooJoong"
bk2d20,Adversarial malware example generation,"Kang, BooJoong"
bk2d20,Adversarial-robust malware detection,"Kang, BooJoong"
bk2d20,Anomaly detection of containerised applications and microservices,"Kang, BooJoong"
bk2d20,AI-applied intrusion detection,"Kang, BooJoong"
bk2d20,Adversarial-robust intrusion detection,"Kang, BooJoong"
dem,Illusory agency in replayable narrative games,"Millard, David"
tp1f12,Electrical characterisation of SnOx films for TFT/RRAM devices,"Prodromakis, Themis;Stathopoulos, Spyros"
ipb1c21,Mental state and affect classification from EEG signals using Deep Learning approaches,"Bodala, Indu"
ipb1c21,Understanding Affect from Multimodal Data in Group Interactions ,"Bodala, Indu"
ipb1c21,Modelling Eye Movement data during HHI and HRI ,"Bodala, Indu"
tp1f12,Digital In-Memory Stochastic Computing,"Prodromakis, Themis; Agwa, Shady "
tp1f12,Spike Sorting using Analog Template Matching,"Prodromakis, Themis; Agwa, Shady "
mct1d19,Approximation of neural networks using semi-definite programming,"Turner, Matthew"
ipb1c21,Privacy and Context Awareness in Assistive Technologies for Health and Wellbeing,"Bodala, Indu"
ipb1c21,Designing Robot Behaviours for Adaptive Long-term Interactions,"Bodala, Indu"
ipb1c21,Interpersonal Synchrony and Affect in Longitudinal Dyadic Interactions,"Bodala, Indu"
tp1f12,Radiation sensors based on artificial synapses,"Prodromakis, Themis;Simanjuntak, Firman"
tp1f12,All-nitride based memristor synapses for AI in space,"Prodromakis, Themis;Simanjuntak, Firman"
gmb1m17,Synchronisation in Many-core systems,"Bragg, Graeme"
gmb1m17,Event-based computing on GPUs,"Bragg, Graeme"
gm1r07,IoT for Smart Fitness,"Merrett, Geoff"
gm1r07,Predicting the time of day from environmental data,"Merrett, Geoff"
gmb1m17,Orch-Vis: Real-time Status Monitoring and Visualisation of a novel HPC system,"Bragg, Graeme"
iahs1f21,the thermal and electrical properties of modified epoxy based dielectric materials,"Saeedi, Istebreq"
iahs1f21,The impact of bio-based fillers on the electrical properties of dielectric materials,"Saeedi, Istebreq"
iahs1f21,investigation of the electrical properties of Functional modified polymers ,"Saeedi, Istebreq"
iahs1f21,Investigation of the dielectric properties of bio-based polymers,"Saeedi, Istebreq"
iahs1f21,Amine modified system with improved electrical properties,"Saeedi, Istebreq"
hk1f20,3D scene reconstruction from a 360 video,"Kim, Hansung"
jy12g15,AI for finance technology (bank loans),"Yan, Jize"
jy12g15,AI in finance technology (credit card transactions checking),"Yan, Jize"
jy12g15,AI in finance technology (financial stability),"Yan, Jize"
